URL,Percentil 95 (ms) anterior,Percentil 95 (ms) actual,% de mejora/empeora entre ambos
https://api.testing.mercap.com.ar/appraiser,89.0,115.5,-29.78
https://api.testing.mercap.com.ar/bond-laws,127.9,66.55,47.97
https://api.testing.mercap.com.ar/bond-payment-forecast,97.0,80.0,17.53
https://api.testing.mercap.com.ar/bond-screener,83.1,79.0,4.93
https://api.testing.mercap.com.ar/bonds/ecfe885d-8163-4222-acb1-f7020cf05a4a,93.0,78.0,16.13
https://api.testing.mercap.com.ar/bonds/ecfe885d-8163-4222-acb1-f7020cf05a4a/coupons,110.0,91.05,17.23
https://api.testing.mercap.com.ar/bonds/ecfe885d-8163-4222-acb1-f7020cf05a4a/issue-conditions,97.0,77.1,20.52
https://api.testing.mercap.com.ar/bonds/ecfe885d-8163-4222-acb1-f7020cf05a4a/payment-summary,92.0,88.1,4.24
https://api.testing.mercap.com.ar/currencies,99.15,84.5,14.78
https://api.testing.mercap.com.ar/currencies/e852e30f-42ad-4343-a7f6-3bc4ec840ed1,96.0,77.0,19.79
https://api.testing.mercap.com.ar/debt-types,110.5,64.2,41.9
https://api.testing.mercap.com.ar/instrument-issuers,95.15,89.1,6.36
https://api.testing.mercap.com.ar/investments/,90.0,113.3,-25.89
https://api.testing.mercap.com.ar/investments/1/exchange-rate-sensitivity?scenarios=4&step=4,80.55,114.0,-41.53
https://api.testing.mercap.com.ar/investments/1/irr-sensitivity?scenarios=4&step=4,144.35,110.0,23.8
https://api.testing.mercap.com.ar/investments/1/metrics,94.0,119.85,-27.5
https://api.testing.mercap.com.ar/investments/1/price-sensitivity?scenarios=2&step=1660,97.0,108.0,-11.34
https://api.testing.mercap.com.ar/markets/4caa715b-06cb-428f-ac4c-f40a872a1064,96.0,78.0,18.75
https://api.testing.mercap.com.ar/tradable-securities/?tradeDate=2024-12-19&type=bond&limit=10&query=al30,91.0,111.0,-21.98
https://api.testing.mercap.com.ar/tradable-securities/a899832b-3151-4305-bed3-00f2ed9e2981,92.0,114.0,-23.91
https://api.testing.mercap.com.ar/tradable-securities/a899832b-3151-4305-bed3-00f2ed9e2981/metrics,91.0,114.0,-25.27
https://api.testing.mercap.com.ar/yield-curves,92.9,222.6,-139.61
https://api.testing.mercap.com.ar/yield-curves/592b2907-1322-490b-88e9-b4b8f9eb3560,89.75,115.0,-28.13
https://api.testing.mercap.com.ar/yield-curves/592b2907-1322-490b-88e9-b4b8f9eb3560/metrics,88.8,113.1,-27.36
